id,artist_name(s),song_name,popularity,explicit?,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence
0P9wnrb9KMNTodfL2NoTNd,['Adé Hakim'],untitled 28 (needing a friend),1,False,0.767,0.557,0.0483,0.28,0.715,0.446,0.847
2tXEhxkl0MTlKvjGtrt37z,['Adé Hakim'],she will always be here,1,False,0.554,0.487,0.223,0.906,0,0.186,0.545
6FocFQVyCP6fnPXDV6tRug,['Adé Hakim'],my queen is strong and free,2,False,0.388,0.346,0.0409,0.681,0.0339,0.0547,0.0788
56kIJ2RgKelohn91m7ePBX,['Adé Hakim'],sit still cause we coming right back (reincarnation),2,False,0.617,0.642,0.0275,0.853,0.965,0.25,0.898
1VGLl3wvwDJ9HNkAAlgd8F,['Adé Hakim'],go!,1,False,0.648,0.874,0.198,0.464,0.439,0.248,0.56
4kJCJ2UL5j5GrtcgpzbD9P,['Adé Hakim'],untitled 24 (hands together),2,False,0.187,0.577,0.0327,0.00202,0.976,0.308,0.284
0C5oBSa4RVNEBh9KUdAqt8,['Adé Hakim'],to be happy by myself,1,False,0.596,0.264,0.0277,0.39,0.982,0.119,0.455
2NIRwcYiS6h0jK68fS5zcY,['Adé Hakim'],need to go back,1,False,0.887,0.693,0.132,0.525,0.839,0.098,0.729
4wWwBAsiIBPReL0b7zt3IX,['Adé Hakim'],Fuck Your Happiness,1,False,0.716,0.215,0.919,0.694,0,0.409,0.492
1vA3Xnaib51bvEee1agljT,['Adé Hakim'],Gets Better,2,True,0.595,0.714,0.0426,0.365,0.00874,0.183,0.414
15duckoliken8qEFSefEvS,['Adé Hakim'],How We Carry Ourselves,2,True,0.494,0.64,0.296,0.815,0.00105,0.213,0.698
5uvSluIskvCcVhOuk9tNXK,['Adé Hakim'],Pajamas,5,True,0.624,0.603,0.142,0.225,3.76e-06,0.253,0.563
2ceAx2GQrOqjxwGufEt3bG,['Adé Hakim'],Distractions,3,True,0.444,0.617,0.14,0.105,0.0455,0.218,0.726
0Ex2NYyLsfWYVA3rXLYhaN,['Adé Hakim'],Stink Face,2,True,0.545,0.732,0.371,0.717,0.000478,0.382,0.546
4oKigfKTeFindBdOaUdzXv,['Adé Hakim'],Immune to the Hype,1,True,0.497,0.75,0.0489,0.84,0.122,0.1,0.273
0FZ3ajNpS6KxML6fCV3SQH,"['Adé Hakim', 'Alphonse']",Know Yourself,1,True,0.428,0.784,0.435,0.56,9.31e-06,0.452,0.717
6itiW66INTPNIamHLnL5KS,['Adé Hakim'],Like Me,1,True,0.555,0.631,0.0649,0.772,0,0.173,0.844
48N9DwLQhtXccxdzCfEDrr,['Adé Hakim'],Never Froze,1,False,0.447,0.72,0.247,0.617,7.87e-06,0.28,0.889
3IYoVzzVZ0UGrXQjk7FKWt,['Adé Hakim'],Lets Move On,2,False,0.603,0.76,0.0858,0.205,0.000914,0.292,0.749
5uEcPK6gS3FuPiLtmrPXq8,['Adé Hakim'],Stuck in 3D,1,False,0.426,0.844,0.279,0.292,0.0043,0.282,0.551
0LQREIhxiiml3IqT5DS9Ui,"['Adé Hakim', 'Goya Gumbani']",Options to Freedom,1,False,0.554,0.499,0.0911,0.87,0.0796,0.211,0.697
2NelAk90g1ur6GsZ9pg9t0,"['Adé Hakim', 'Nikasia']",Old News,1,False,0.592,0.671,0.0644,0.591,0.000292,0.402,0.815
2DTxIyV4t6ild7nFppAHOF,"['Adé Hakim', 'Petey Black']",The Upgrade,1,False,0.482,0.584,0.0636,0.291,0.0411,0.294,0.843
5fpQRHL6GlZ3u6WWlQvmBd,['Adé Hakim'],Take Things Slow,2,False,0.633,0.667,0.18,0.559,0.788,0.126,0.349
7vGHCeU90jwEe80mToXcBj,"['Adé Hakim', 'Master Holy']",Supported By My Fam First,0,False,0.593,0.771,0.179,0.589,0,0.0981,0.703
7cbJJDWS5ElcXiVfY9D0uA,['Adé Hakim'],Mental Slave Survivors,1,False,0.696,0.613,0.0437,0.822,0.0037,0.611,0.481
5yoNeW7RcIAnON0PqwAqL9,"['Adé Hakim', 'Nikasia']",Walk Off,2,False,0.563,0.501,0.129,0.521,0.00145,0.419,0.564
1KlEleSMArV13pNyDk9flF,"['Adé Hakim', 'Joygill Moriah']",WONT FALL BACK,3,True,0.592,0.502,0.0721,0.0806,0.0905,0.274,0.515
3YaYuoxvDStjlUCHgz1MjU,['Adé Hakim'],We Can Make It! (Opening Credits),1,True,0.575,0.72,0.171,0.325,0.0465,0.273,0.341
5OapJ7TtYTJ5PupbFHjXVM,['Adé Hakim'],Life Hack,8,True,0.537,0.913,0.297,0.394,1.62e-05,0.621,0.402
15bBzokoOmuQ8a3kZVPSUM,['Adé Hakim'],TransitWirelessWiFi,2,True,0.736,0.475,0.21,0.9,0.0126,0.176,0.881
4fefLlklj0XTxlY389vxm1,['Adé Hakim'],Along the Hudson,5,True,0.629,0.696,0.26,0.888,0.00214,0.149,0.53
0Io8g10zYeTZfzt7wCsWDL,['Adé Hakim'],Indigenous' Anthem,18,True,0.689,0.75,0.113,0.745,0.555,0.367,0.268
