id,artist_name(s),song_name,popularity,explicit?,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence
7bn8W75Gt6n1CJOG3W8CKp,"['Mach-Hommy', 'Tha God Fahim']",BLK $,19,True,0.763,0.488,0.11,0.412,0,0.106,0.741

1fUPEJyR0FFdog8M0AablM,"['idontknowjeffery', 'Marcus.901', 'Duke Deuce']",MNEIG - G-MIX,44,True,0.891,0.67,0.121,0.00254,0.000118,0.215,0.661

1mRmjfzGVNoXYnv20CAdWP,['Duke Deuce'],GTD,34,True,0.88,0.827,0.352,0.00424,0,0.395,0.825

6TJaoJX8VhptZ0DkcsjWaR,['LUCKI'],2021 Vibes,71,True,0.816,0.252,0.454,0.5,2.26e-06,0.102,0.256

4XE1StBll9KcNa8nHa3nXG,"['KAYTRAMINÉ', 'Aminé', 'KAYTRANADA']",Rebuke,47,True,0.545,0.588,0.101,0.18,0,0.127,0.502

0smgkpVia3VCXgY4qhVJvp,['070 Shake'],Guilty Conscience,63,False,0.539,0.638,0.136,0.00676,0,0.123,0.222

1nDgL42y7nnTFSQYouFOA7,"['Masta Ace', 'MF DOOM', 'Melodiesinfonie']",Think I Am - Melodiesinfonie Remix,43,False,0.8,0.564,0.0525,0.521,1.07e-06,0.0973,0.657

4LadsagnXZM7SEOpHjHIHA,['Sexyy Red'],Looking For The Hoes (Ain’t My Fault),75,True,0.681,0.686,0.31,0.077,0,0.21,0.568

4RsTfAuTiUyL7GKGPiNC0w,['Duke Deuce'],Crunk Ain't Dead,60,True,0.767,0.931,0.269,0.0397,0,0.182,0.474

2J8E2RQNouSJ0rt6iqCbj3,['Cochise'],Stock X,41,True,0.703,0.511,0.0751,0.0208,0,0.249,0.658

5P4DB18ovxpMrvBTxHIf63,['Joony'],NEED IT,40,True,0.824,0.576,0.0755,0.055,1.17e-05,0.108,0.547

2MjhK44oBBWTwCEyKGFny3,"['Maxo Kream', 'Luh Tyler']",Whatchamacallit (feat. Luh Tyler),43,True,0.793,0.647,0.233,0.0246,0,0.118,0.503

4RK5yGv7e8a5Nk5U9QvBDe,['datfootdive'],Weaving a Story,28,False,0.358,0.749,0.0401,0.00576,0.869,0.168,0.268

4U4j3Y9ws1HgyTNxP7ERyL,"['Pink Siifu', 'V.C.R', 'Coco O.', 'Butcher Brown']",SMILE (wit yo Gold),11,True,0.491,0.421,0.0302,0.191,0.192,0.413,0.324

1pha6SY5RscLvrWS62XYdy,"['Zelooperz', 'Quadie Diesel']",Delema,21,True,0.721,0.581,0.297,0.328,0,0.213,0.61

4kjI1gwQZRKNDkw1nI475M,['Travis Scott'],MY EYES,87,True,0.455,0.621,0.0517,0.651,2.59e-06,0.123,0.28

4uQ3gxaUXJQFAsQ1t2diwS,['Ivan Ave'],Jellylude,30,False,0.535,0.658,0.298,0.232,0.935,0.105,0.714

